PID	TTY	STAT	TIME	COMMAND
1	?	S	00:19	/sbin/initsplash
2	?	S	00:00	(kthreadd)
4	?	I	00:00	(kworker/0:0H)
6	?	I	00:00	(mm_percpu_wq)
7	?	S	00:02	(ksoftirqd/0)
8	?	I	01:41	(rcu_sched)
9	?	I	00:00	(rcu_bh)
10	?	S	00:00	(migration/0)
11	?	S	00:00	(watchdog/0)
12	?	S	00:00	(cpuhp/0)
13	?	S	00:00	(cpuhp/1)
14	?	S	00:00	(watchdog/1)
15	?	S	00:00	(migration/1)
16	?	S	00:00	(ksoftirqd/1)
18	?	I	00:00	(kworker/1:0H)
19	?	S	00:00	(cpuhp/2)
20	?	S	00:00	(watchdog/2)
21	?	S	00:00	(migration/2)
22	?	S	00:00	(ksoftirqd/2)
24	?	I	00:00	(kworker/2:0H)
25	?	S	00:00	(cpuhp/3)
26	?	S	00:00	(watchdog/3)
27	?	S	00:00	(migration/3)
28	?	S	00:00	(ksoftirqd/3)
30	?	I	00:00	(kworker/3:0H)
31	?	S	00:00	(kdevtmpfs)
32	?	I	00:00	(netns)
33	?	S	00:00	(rcu_tasks_kthre)
34	?	S	00:00	(kauditd)
37	?	S	00:00	(khungtaskd)
38	?	S	00:00	(oom_reaper)
39	?	I	00:00	(writeback)
40	?	S	00:00	(kcompactd0)
41	?	S	00:00	(ksmd)
42	?	S	00:00	(khugepaged)
43	?	I	00:00	(crypto)
44	?	I	00:00	(kintegrityd)
45	?	I	00:00	(kblockd)
46	?	I	00:00	(ata_sff)
47	?	I	00:00	(md)
48	?	I	00:00	(edac-poller)
49	?	I	00:00	(devfreq_wq)
50	?	I	00:00	(watchdogd)
55	?	S	00:16	(kswapd0)
56	?	I	00:00	(kworker/u17:0)
57	?	S	00:00	(ecryptfs-kthrea)
99	?	I	00:00	(kthrotld)
100	?	I	00:00	(acpi_thermal_pm)
104	?	I	00:00	(ipv6_addrconf)
114	?	I	00:00	(kstrp)
131	?	I	00:00	(charger_manager)
187	?	S	00:00	(scsi_eh_0)
188	?	I	00:00	(scsi_tmf_0)
189	?	S	00:00	(scsi_eh_1)
190	?	I	00:00	(scsi_tmf_1)
191	?	S	00:00	(scsi_eh_2)
193	?	I	00:00	(scsi_tmf_2)
195	?	S	00:00	(scsi_eh_3)
196	?	I	00:00	(scsi_tmf_3)
197	?	S	00:00	(scsi_eh_4)
198	?	I	00:00	(scsi_tmf_4)
199	?	S	00:00	(scsi_eh_5)
